,image,true label,predicted label,confidence score,true confidence score,correct
0,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00004650.JPEG,English springer,English springer,0.8374016284942627,0.8374016284942627,y
1,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00007032.JPEG,English springer,English springer,0.813569188117981,0.813569188117981,y
2,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00008162.JPEG,English springer,English springer,0.8837040066719055,0.8837040066719055,y
3,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00014280.JPEG,English springer,English springer,0.9721126556396484,0.9721126556396484,y
4,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00016582.JPEG,English springer,English springer,0.8928613066673279,0.8928613066673279,y
5,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00017370.JPEG,English springer,English springer,0.7928881645202637,0.7928881645202637,y
6,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00022412.JPEG,English springer,English springer,0.8707919716835022,0.8707919716835022,y
7,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00023242.JPEG,English springer,English springer,0.17241357266902924,0.17241357266902924,y
8,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00023440.JPEG,English springer,English springer,0.5794969797134399,0.5794969797134399,y
9,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00025442.JPEG,English springer,English springer,0.970069169998169,0.970069169998169,y
10,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00026521.JPEG,English springer,Border collie,0.5802754163742065,0.10642188787460327,n
11,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00027182.JPEG,English springer,English springer,0.9614753723144531,0.9614753723144531,y
12,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00036282.JPEG,English springer,English springer,0.9802626967430115,0.9802626967430115,y
13,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00037182.JPEG,English springer,English springer,0.9695338010787964,0.9695338010787964,y
14,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00040140.JPEG,English springer,English springer,0.9168696403503418,0.9168696403503418,y
15,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1011.JPEG,English springer,English springer,0.9808152914047241,0.9808152914047241,y
16,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1022.JPEG,English springer,English springer,0.9445610642433167,0.9445610642433167,y
17,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1030.JPEG,English springer,English springer,0.961979866027832,0.961979866027832,y
18,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1081.JPEG,English springer,English springer,0.38090842962265015,0.38090842962265015,y
19,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1082.JPEG,English springer,Welsh springer spaniel,0.5018274784088135,0.15626005828380585,n
20,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1091.JPEG,English springer,English springer,0.6117197275161743,0.6117197275161743,y
21,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1092.JPEG,English springer,English springer,0.8430094122886658,0.8430094122886658,y
22,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1100.JPEG,English springer,English springer,0.9746677875518799,0.9746677875518799,y
23,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1102.JPEG,English springer,English springer,0.8878232836723328,0.8878232836723328,y
24,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1110.JPEG,English springer,English springer,0.7043672800064087,0.7043672800064087,y
25,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1112.JPEG,English springer,English springer,0.7723760008811951,0.7723760008811951,y
26,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1121.JPEG,English springer,Welsh springer spaniel,0.6787402033805847,0.23318617045879364,n
27,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1122.JPEG,English springer,English springer,0.7329005599021912,0.7329005599021912,y
28,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1130.JPEG,English springer,English springer,0.8405104875564575,0.8405104875564575,y
29,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1151.JPEG,English springer,English springer,0.8617640733718872,0.8617640733718872,y
30,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1160.JPEG,English springer,English springer,0.974435567855835,0.974435567855835,y
31,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1172.JPEG,English springer,English springer,0.13635072112083435,0.13635072112083435,y
32,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1181.JPEG,English springer,English springer,0.7039687037467957,0.7039687037467957,y
33,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1200.JPEG,English springer,English springer,0.5946357250213623,0.5946357250213623,y
34,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1201.JPEG,English springer,English springer,0.9844222068786621,0.9844222068786621,y
35,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1210.JPEG,English springer,English springer,0.4102795124053955,0.4102795124053955,y
36,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1222.JPEG,English springer,English springer,0.3008383512496948,0.3008383512496948,y
37,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1230.JPEG,English springer,English springer,0.9460721611976624,0.9460721611976624,y
38,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1241.JPEG,English springer,English springer,0.9894317388534546,0.9894317388534546,y
39,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1252.JPEG,English springer,black-footed ferret,0.1233496218919754,0.008666864596307278,n
40,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1260.JPEG,English springer,English springer,0.3705742657184601,0.3705742657184601,y
41,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1261.JPEG,English springer,English springer,0.9405202269554138,0.9405202269554138,y
42,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1272.JPEG,English springer,English springer,0.9159758687019348,0.9159758687019348,y
43,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1292.JPEG,English springer,English springer,0.9493395090103149,0.9493395090103149,y
44,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1300.JPEG,English springer,English springer,0.9571872353553772,0.9571872353553772,y
45,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1301.JPEG,English springer,swimming trunks,0.28086748719215393,0.006402757950127125,n
46,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1302.JPEG,English springer,English springer,0.44620564579963684,0.44620564579963684,y
47,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1310.JPEG,English springer,English springer,0.9517735242843628,0.9517735242843628,y
48,/home/yi/Downloads/imagenette2/val/English springer/n02102040_132.JPEG,English springer,English springer,0.8193450570106506,0.8193450570106506,y
49,/home/yi/Downloads/imagenette2/val/English springer/n02102040_142.JPEG,English springer,English springer,0.5969650745391846,0.5969650745391846,y
50,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1430.JPEG,English springer,English springer,0.4882547855377197,0.4882547855377197,y
51,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1442.JPEG,English springer,English springer,0.9985992312431335,0.9985992312431335,y
52,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1450.JPEG,English springer,English springer,0.7979204058647156,0.7979204058647156,y
53,/home/yi/Downloads/imagenette2/val/English springer/n02102040_150.JPEG,English springer,English springer,0.9640588760375977,0.9640588760375977,y
54,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1512.JPEG,English springer,English springer,0.9684498310089111,0.9684498310089111,y
55,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1552.JPEG,English springer,English springer,0.9950404763221741,0.9950404763221741,y
56,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1590.JPEG,English springer,English springer,0.9319534301757812,0.9319534301757812,y
57,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1592.JPEG,English springer,Cardigan,0.46237295866012573,0.07907199114561081,n
58,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1612.JPEG,English springer,English springer,0.8423510193824768,0.8423510193824768,y
59,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1620.JPEG,English springer,English springer,0.41572117805480957,0.41572117805480957,y
60,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1632.JPEG,English springer,English springer,0.928993284702301,0.928993284702301,y
61,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1642.JPEG,English springer,English springer,0.991493821144104,0.991493821144104,y
62,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1660.JPEG,English springer,English springer,0.9572283029556274,0.9572283029556274,y
63,/home/yi/Downloads/imagenette2/val/English springer/n02102040_171.JPEG,English springer,English springer,0.9338157773017883,0.9338157773017883,y
64,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1720.JPEG,English springer,English springer,0.9779347777366638,0.9779347777366638,y
65,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1740.JPEG,English springer,English springer,0.9040907621383667,0.9040907621383667,y
66,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1760.JPEG,English springer,English springer,0.7134901881217957,0.7134901881217957,y
67,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1770.JPEG,English springer,English springer,0.9186532497406006,0.9186532497406006,y
68,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1771.JPEG,English springer,English springer,0.9594315886497498,0.9594315886497498,y
69,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1781.JPEG,English springer,English springer,0.9109969139099121,0.9109969139099121,y
70,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1782.JPEG,English springer,English springer,0.4441840350627899,0.4441840350627899,y
71,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1791.JPEG,English springer,cocker spaniel,0.4513111412525177,0.10542866587638855,n
72,/home/yi/Downloads/imagenette2/val/English springer/n02102040_182.JPEG,English springer,English springer,0.9812459945678711,0.9812459945678711,y
73,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1822.JPEG,English springer,English springer,0.9487640261650085,0.9487640261650085,y
74,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1830.JPEG,English springer,English springer,0.5340746641159058,0.5340746641159058,y
75,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1840.JPEG,English springer,Welsh springer spaniel,0.8477948904037476,0.0981820672750473,n
76,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1841.JPEG,English springer,English springer,0.7607982754707336,0.7607982754707336,y
77,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1842.JPEG,English springer,English springer,0.7607961297035217,0.7607961297035217,y
78,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1870.JPEG,English springer,English springer,0.9212338328361511,0.9212338328361511,y
79,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1910.JPEG,English springer,park bench,0.05419890210032463,0.0029819428455084562,n
80,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1961.JPEG,English springer,English springer,0.9916552305221558,0.9916552305221558,y
81,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1980.JPEG,English springer,English springer,0.8562720417976379,0.8562720417976379,y
