,image,true label,predicted label,confidence score,true confidence score,correct
0,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00004650.JPEG,English springer,English springer,1.0,7.590846693079391e-15,y
1,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00007032.JPEG,English springer,English springer,1.0,3.5388312534166234e-25,y
2,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00008162.JPEG,English springer,English springer,1.0,7.173955922564698e-26,y
3,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00014280.JPEG,English springer,English springer,1.0,8.362148863974572e-13,y
4,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00016582.JPEG,English springer,English springer,1.0,4.541311518807737e-19,y
5,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00017370.JPEG,English springer,English springer,1.0,4.2645211363948055e-13,y
6,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00022412.JPEG,English springer,English springer,1.0,1.5940847577685704e-25,y
7,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00023242.JPEG,English springer,chain saw,0.7406359314918518,0.0024839681573212147,n
8,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00023440.JPEG,English springer,English springer,1.0,1.4181638719260037e-12,y
9,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00025442.JPEG,English springer,English springer,1.0,4.624284932271896e-44,y
10,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00026521.JPEG,English springer,English springer,1.0,1.08101728957255e-10,y
11,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00027182.JPEG,English springer,English springer,1.0,1.3802335806938938e-14,y
12,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00036282.JPEG,English springer,English springer,1.0,4.322463491922369e-22,y
13,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00037182.JPEG,English springer,English springer,1.0,2.4734103856658097e-22,y
14,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00040140.JPEG,English springer,English springer,1.0,4.832964323880917e-12,y
15,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1011.JPEG,English springer,English springer,1.0,2.2905071787740557e-23,y
16,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1022.JPEG,English springer,English springer,1.0,4.5935184358707865e-16,y
17,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1030.JPEG,English springer,English springer,1.0,1.3956932704675178e-41,y
18,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1081.JPEG,English springer,tench,0.7093727588653564,0.7093727588653564,n
19,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1082.JPEG,English springer,English springer,1.0,1.1689156587113558e-11,y
