,image,true label,predicted label,confidence score,true confidence score,correct
0,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00004650.JPEG,English springer,English springer,1.0,1.0,y
1,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00007032.JPEG,English springer,English springer,1.0,1.0,y
2,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00008162.JPEG,English springer,English springer,1.0,1.0,y
3,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00014280.JPEG,English springer,English springer,1.0,1.0,y
4,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00016582.JPEG,English springer,English springer,1.0,1.0,y
5,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00017370.JPEG,English springer,English springer,1.0,1.0,y
6,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00022412.JPEG,English springer,English springer,1.0,1.0,y
7,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00023242.JPEG,English springer,chain saw,0.7406359314918518,0.025398576632142067,n
8,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00023440.JPEG,English springer,English springer,1.0,1.0,y
9,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00025442.JPEG,English springer,English springer,1.0,1.0,y
10,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00026521.JPEG,English springer,English springer,1.0,1.0,y
11,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00027182.JPEG,English springer,English springer,1.0,1.0,y
12,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00036282.JPEG,English springer,English springer,1.0,1.0,y
13,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00037182.JPEG,English springer,English springer,1.0,1.0,y
14,/home/yi/Downloads/imagenette2/val/English springer/ILSVRC2012_val_00040140.JPEG,English springer,English springer,1.0,1.0,y
15,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1011.JPEG,English springer,English springer,1.0,1.0,y
16,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1022.JPEG,English springer,English springer,1.0,1.0,y
17,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1030.JPEG,English springer,English springer,1.0,1.0,y
18,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1081.JPEG,English springer,tench,0.7093727588653564,0.04686814546585083,n
19,/home/yi/Downloads/imagenette2/val/English springer/n02102040_1082.JPEG,English springer,English springer,1.0,1.0,y
